Destination,Hop,Delay (ms)
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),15.012
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),7.469
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),10.843
en.iyte.edu.tr,101.100.146.159.srv.turk.net (159.146.100.101),21.984
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),21.585
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),22.004
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),30.134
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),1.032
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),17.821
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),13.047
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),25.841
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),33.787
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),34.471
en.iyte.edu.tr,101.100.146.159.srv.turk.net (159.146.100.101),19.693
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),17.146
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),15.304
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),24.727
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),0.082
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),8.776
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),7.705
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),13.865
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.786
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),19.349
en.iyte.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),128.878
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),18.811
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),15.322
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),1.067
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),11.368
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),2.119
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),9.763
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),6.954
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),15.577
en.iyte.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),16.813
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),19.028
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),16.461
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),95.51
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),2.056
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),13.907
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),9.213
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),12.258
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.418
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),12.27
en.iyte.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),17.678
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),12.705
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),20.137
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),29.35
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),3.247
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),11.372
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),9.382
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),19.843
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),10.186
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),17.235
en.iyte.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),24.605
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),19.697
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),15.989
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),28.26
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),4.826
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),7.106
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),8.822
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),14.189
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),15.139
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),16.831
en.iyte.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),21.019
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),69.26
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),71.566
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),2.109
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),7.583
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),9.108
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),23.999
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),22.684
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),29.943
en.iyte.edu.tr,101.100.146.159.srv.turk.net (159.146.100.101),33.962
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),18.807
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),14.958
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),29.505
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),1.158
erbakan.edu.tr,V12.bbrouter (192.168.1.1),7.861
erbakan.edu.tr,172.17.1.250 (172.17.1.250),11.122
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),12.149
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),10.829
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),9.805
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),4.951
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),9.27
erbakan.edu.tr,172.67.69.193 (172.67.69.193),23.498
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),0.856
erbakan.edu.tr,V12.bbrouter (192.168.1.1),8.474
erbakan.edu.tr,172.17.1.250 (172.17.1.250),12.154
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),9.448
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.094
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),18.585
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),12.681
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),19.078
erbakan.edu.tr,172.67.69.193 (172.67.69.193),21.049
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),2.048
erbakan.edu.tr,V12.bbrouter (192.168.1.1),0.748
erbakan.edu.tr,172.17.1.250 (172.17.1.250),6.207
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),17.402
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.537
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),16.673
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),7.11
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),4.779
erbakan.edu.tr,172.67.69.193 (172.67.69.193),9.361
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),1.642
erbakan.edu.tr,V12.bbrouter (192.168.1.1),5.088
erbakan.edu.tr,172.17.1.250 (172.17.1.250),9.443
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),17.308
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),10.415
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),11.573
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),7.871
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),13.17
erbakan.edu.tr,172.67.69.193 (172.67.69.193),14.149
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),1.693
erbakan.edu.tr,V12.bbrouter (192.168.1.1),8.086
erbakan.edu.tr,172.17.1.250 (172.17.1.250),19.002
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),20.627
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),17.23
erbakan.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),26.644
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),4.875
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),26.914
erbakan.edu.tr,172.67.69.193 (172.67.69.193),13.641
,,
erbakan.edu.tr,Abdullah-Laptop (172.30.144.1),6.501
erbakan.edu.tr,V12.bbrouter (192.168.1.1),9.91
erbakan.edu.tr,172.17.1.250 (172.17.1.250),10.509
erbakan.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),12.465
erbakan.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),12.366
