Destination,Hop,Delay (ms)
uzh.ch,193.255.0.141 (193.255.0.141),59.719
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),66.931
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),59.281
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),66.52
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),70.22
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),66.344
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),66.796
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),56.811
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),86.819
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),89.055
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),86.703
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),94.61
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),97.571
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),95.569
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),95.495
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),3.443
uzh.ch,161.9.63.253 (161.9.63.253),19.57
uzh.ch,160.75.126.25 (160.75.126.25),25.513
uzh.ch,193.255.0.141 (193.255.0.141),27.534
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),43.986
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),65.784
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),81.795
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),78.016
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),78.418
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),78.953
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),73.988
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),83.419
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),87.873
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),84.552
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),93.924
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),78.725
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),77.109
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),75.499
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),1.222
uzh.ch,161.9.63.253 (161.9.63.253),46.024
uzh.ch,160.75.126.25 (160.75.126.25),43.613
uzh.ch,193.255.0.141 (193.255.0.141),46.66
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),59.984
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),103.454
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),88.439
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),92.484
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),88.209
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),89.704
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),84.616
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),68.332
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),74.348
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),76.571
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),70.152
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),73.079
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),68.495
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),65.162
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),3.77
uzh.ch,161.9.63.253 (161.9.63.253),59.696
uzh.ch,160.75.126.25 (160.75.126.25),42.456
uzh.ch,193.255.0.141 (193.255.0.141),37.897
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),61.852
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),81.581
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),74.304
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),111.75
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),116.814
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),77.395
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),103.898
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),92.92
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),88.643
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),85.055
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),85.493
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),89.043
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),86.663
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),101.542
,,
google.com,Abdullah-Laptop (172.30.144.1),0.594
google.com,161.9.63.253 (161.9.63.253),41.938
google.com,160.75.126.25 (160.75.126.25),38.813
google.com,193.255.0.141 (193.255.0.141),44.533
google.com,193.140.0.149 (193.140.0.149),41.632
google.com,69.96.154.212.static.turk.net (212.154.96.69),32.349
google.com,06-ulus-sr14s-t2-2---06-ulus-sr12e-t3-1.statik.turktelekom.com.tr (81.212.222.209),53.742
google.com,307-sof-col-2---06-ebgp-ulus-sr12e-k.statik.turktelekom.com.tr (212.156.104.150),55.953
google.com,72.14.204.10 (72.14.204.10),71.046
google.com,142.251.92.65 (142.251.92.65),43.95
google.com,142.251.92.66 (142.251.92.66),57.895
google.com,* * 142.251.242.76 (142.251.242.76),42.696
