Destination,Hop,Delay (ms),Group
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1073.516,4960
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1606.109,4961
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1297.679,4962
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1059.185,4963
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1276.52,4964
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1128.573,4965
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),782.273,4966
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),1032.235,4967
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),515.399,4968
cam.ac.uk,s-dr.f-sv-net.net.cam.ac.uk (128.232.128.6),783.795,4969
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),839.397,4970
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),636.259,4971
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),806.686,4972
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),715.217,4973
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),675.154,4974
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),901.471,4975
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),839.36,4976
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),1133.859,4977
univie.ac.at,ms-hyde-mars.cc.univie.ac.at (131.130.251.134),356.729,4978
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),494.203,4979
kyoto-u.ac.jp,ae-0.a02.frnkge13.de.bb.gin.ntt.net (129.250.3.23),775.446,4980
kyoto-u.ac.jp,ae-0.a02.frnkge13.de.bb.gin.ntt.net (129.250.3.23),494.553,4981
kyoto-u.ac.jp,ae-0.a03.frnkge13.de.bb.gin.ntt.net (129.250.3.30),833.081,4982
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.115),763.897,4983
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.113),922.947,4984
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.115),932.642,4985
kyoto-u.ac.jp,ae-1.a03.frnkge13.de.bb.gin.ntt.net (129.250.3.152),700.257,4986
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.113),476.609,4987
kyoto-u.ac.jp,06-ulus-sr14s-t2-2---06-ulus-sr12e-t3-1.statik.turktelekom.com.tr (81.212.222.209),1279.67,4988
kyoto-u.ac.jp,ae-7.r21.frnkge13.de.bb.gin.ntt.net (129.250.7.43),1397.424,4989
mit.edu,ae5.r02.border.mrs01.sdn.netarch.akamai.com (23.223.62.19),954.685,4990
mit.edu,akamai-ic-350392.ip.twelve99-cust.net (62.115.181.75),1087.388,4991
mit.edu,ae38.r01.border101.iad03.fab.netarch.akamai.com (23.203.152.143),1225.171,4992
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),833.717,4993
mit.edu,ae34.r03.border101.par02.fab.netarch.akamai.com (23.210.53.25),946.132,4994
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),757.372,4995
mit.edu,ae34.r03.border101.par02.fab.netarch.akamai.com (23.210.53.25),916.785,4996
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),326.069,4997
mit.edu,208.185.22.10.IPYX-074089-910-ZYO.zip.zayo.com (208.185.22.10),897.039,4998
mit.edu,ae36.r03.border101.mia02.fab.netarch.akamai.com (23.203.157.23),680.63,4999
itu.edu.tr,161.9.79.253 (161.9.79.253),12.171,5000
itu.edu.tr,161.9.79.253 (161.9.79.253),18.333,5001
itu.edu.tr,161.9.79.253 (161.9.79.253),20.064,5002
itu.edu.tr,161.9.79.253 (161.9.79.253),29.817,5003
itu.edu.tr,161.9.79.253 (161.9.79.253),244.621,5004
itu.edu.tr,161.9.79.253 (161.9.79.253),85.287,5005
itu.edu.tr,161.9.79.253 (161.9.79.253),23.35,5006
itu.edu.tr,161.9.79.253 (161.9.79.253),27.819,5007
itu.edu.tr,161.9.79.253 (161.9.79.253),1.852,5008
itu.edu.tr,161.9.79.253 (161.9.79.253),94.799,5009
metu.edu.tr,144.122.1.18 (144.122.1.18),128.835,5010
