Destination,Hop,Delay (ms)
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),473.901
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),856.394
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),828.214
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),810.654
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),812.617
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),880.706
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),853.86
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),874.976
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),874.161
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),870.905
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),780.866
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),767.325
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),774.972
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),777.846
,,
google.com,Abdullah-Laptop (172.30.144.1),7.5
google.com,161.9.79.253 (161.9.79.253),1421.226
google.com,160.75.126.25 (160.75.126.25),1431.66
google.com,193.255.0.141 (193.255.0.141),1423.385
google.com,* * 193.140.0.149 (193.140.0.149),804.644
google.com,69.96.154.212.static.turk.net (212.154.96.69),913.881
google.com,212.156.64.45.static.turktelekom.com.tr (212.156.64.45),748.873
